checksum_match,date,interval,expected_checksum,actual_checksum,file_size,line_count,unique_timestamps,first_timestamp,last_timestamp,http_status,last_modified,etag,server,content_type,content_length,x_cache,x_amz_cf_id
0,2023-02-20,1s,add75f5a4648128f062c0b57285b30eee5ce5b0b2395d683b7a92dff6ef79ab0,9a51910edc52176c9b5d111ee596b2e04e5af33a2e2624394581873d77f6cb42,3832261,86400,86400,1676851200000,1676937599000,200,Thu, 13 Apr 2023 10:25:07 GMT,589efce24e2f34316b6da79cd580e24a,AmazonS3,application/zip,3832261,Miss from cloudfront,JSlgf6kV1vzOf4K2cKor7pnt9VqvISeNLbdPWWtfOL5gGYHwPGj--w==
0,2023-02-19,1s,fe3791d5e9dc394b3e1831feadfca5c6991205772ea92608ff6f9b135500eede,8476e774aacca7b224731471e2055cda9fef4a25cad0c8c88381f217f72fd941,3739196,86400,86400,1676764800000,1676851199000,200,Thu, 13 Apr 2023 10:23:25 GMT,fdd1a5232bd8507172a5bb1dbf30b327,AmazonS3,application/zip,3739196,Miss from cloudfront,RFBryriUp2PPBy6LfBzv_FlS4yC1pbOChj3_8CDSHIUJJwV4cA4ifA==
0,2023-02-18,1s,d5a8454fa7e892e96ba93bee58103df705c18aca57197741cd0db57d566ad90e,29e23bac1e1423cbf2e7d04dada714f817f6b57f8d3887961712b0e16ef974de,3706044,86400,86400,1676678400000,1676764799000,200,Thu, 13 Apr 2023 10:23:45 GMT,b9b5e4a09891ea898cd9a052cd0adf6d,AmazonS3,application/zip,3706044,Miss from cloudfront,zkKHpQtd8s6KkIcbofbzrMQp_nk9AqD_zWPSlcnBvd8Q8QJvfMZcSg==
0,2023-02-17,1s,f55ae4a5c236a3486709f385e2ddf67a68599cbb3aeca36bd2d3fa90519b9d43,6e2eba2d8cf581dcb0a82448cf31942c0814922b59ff9f15d2cb833816e5f5bf,3879312,86400,86400,1676592000000,1676678399000,200,Thu, 13 Apr 2023 10:23:19 GMT,5691135704840aaf088aa5d9dedc468b,AmazonS3,application/zip,3879312,Miss from cloudfront,9e1f_qSTxgCh4Nq9jXpQQUQPj6ArGScnLQ50m3d0zkzRJqlZ1fUhfg==
0,2023-02-16,1s,f4644b1938e3472bb031e3a6d7414d2b48d7fbe033668d366664228d46a1b26f,a661ceada8e93b7558e22f36fb879de8400a22460c9347904ad4614eb7f5a4f7,3866165,86400,86400,1676505600000,1676591999000,200,Thu, 13 Apr 2023 10:23:55 GMT,09473776f90c1e7193cd4dc49417dd07,AmazonS3,application/zip,3866165,Miss from cloudfront,L60W6GmO82W34tnkiemDTwmU2esmc7eHZ8Blyj5TehlI77QwVnd5uw==
0,2023-02-15,1s,bd6cf84949ab0156af00ffa27d371a0b0b24f04601da56b3ea7592bf5d34f8d2,88fd26022c0664354a252c639e75b99873c984b6a024439863cf33335264042d,3762169,86400,86400,1676419200000,1676505599000,200,Thu, 13 Apr 2023 10:24:59 GMT,374bb5962ec78ee3d82e8e18cedb0975,AmazonS3,application/zip,3762169,Miss from cloudfront,R2WNg9rg3PAom6ZSVxqNtjxnw4thYzSRSVYIY-Mki_peCI32Z8BBmA==
0,2023-02-14,1s,2c05220e616663c09845d2ca93ab0bc31c1184add234dedea8cdfa3432202c97,5be95ce691b93c927139d8c355b8ec5b679c01f9680c7c349da5e379d8da8346,3715473,86400,86400,1676332800000,1676419199000,200,Thu, 13 Apr 2023 10:25:50 GMT,4f886197a9a7f7080e051a71939c2100,AmazonS3,application/zip,3715473,Miss from cloudfront,UYr7XcI0fsGIDueOGSZrDYlZtsNqBqBLuuxHUJEgckt1SU9zoVXOxw==
0,2023-01-30,1s,d2100f1ecb4ebe39983c14c9e5a18b1855dc2ee3d4d09298621fe21bab611251,a91b4e6c93c53547cf07f80f236f6db55a6117546cdf6bb90bd87c815ac7f9ce,3782572,86400,86400,1675036800000,1675123199000,200,Thu, 13 Apr 2023 10:23:33 GMT,4a63995d44168ba982b4094658839eee,AmazonS3,application/zip,3782572,Miss from cloudfront,55GhyrfvV1WJfED9ebL1mAxIJTuRHBlaCyY-Pr16IR1L4xyc5vw8_A==
0,2023-01-29,1s,afc3cbd3c06625010d7fa20a21a6230cc67010763edcaea58db562db21dcf830,53e96262166fe398cf1304d58fe7728c2e11e4bc5918f877d4ee0d9a2f1837a1,3734995,86400,86400,1674950400000,1675036799000,200,Thu, 13 Apr 2023 10:23:48 GMT,0ffecb4813161e402d8db04cc241043d,AmazonS3,application/zip,3734995,Miss from cloudfront,PBdVHcMUoUyQQl2ke03Cw4vTJva5I5Nn1PPc1ONH115KWDG4zT2Mew==
0,2023-01-28,1s,96cfa6747a0f1f30956a6cbfb6c995fb7e6d92ae13aa2504df2194203090d9c0,e2fc66922f3e4df07ce1a124297f4b9da2338ae631c2db0e3b067ea05e11dd54,3576881,86400,86400,1674864000000,1674950399000,200,Thu, 13 Apr 2023 10:23:27 GMT,9bc698d635231583391e3d658bdcdd05,AmazonS3,application/zip,3576881,Miss from cloudfront,Qa7oAev9z_WuvvfxNPGQaXfW_vNRcE87cGa28TlrO_geJZGUQIm0qg==
0,2023-01-27,1s,7e3b08082007ff3e9132591a0d181b5a05e194a47de1a282d973b07b490ed620,6747da65e12f9837062b767a47a0e07c0c1497368a5c049c871a2d069cbf883a,3749317,86400,86400,1674777600000,1674863999000,200,Thu, 13 Apr 2023 10:23:57 GMT,a2cb355aad8c57542b4adac09f6ee17c,AmazonS3,application/zip,3749317,Miss from cloudfront,xA6FlLA0a89tqOpZb1lVO4NVf2s5mblnoB36CrfS02jGsmK4S_EFng==
0,2023-01-26,1s,a9bb48c8a453388a91dcb75bb4c1c9cefb8e80605213fcf5e81426c7d4ea545a,1a83e36918b7ec33bedd3fbbc0999bb34131d4de4016bd434aee56f96aafd8d5,3771660,86400,86400,1674691200000,1674777599000,200,Thu, 13 Apr 2023 10:23:20 GMT,919503af651c0a735358c26ac53a308e,AmazonS3,application/zip,3771660,Miss from cloudfront,QHNa0LdioGCA8pyPfwjNbhyYAycuEClFGzWq7ar6NnUTbPgyKmhH0Q==
0,2023-01-25,1s,21edffa65336c6038a111007a5e7f312a5c3a978004e6d853dea02c0a6ec2451,90e173753a21c726530ccc7e1e76de81e16f585923b12994b6f59367d05af032,3797617,86400,86400,1674604800000,1674691199000,200,Thu, 13 Apr 2023 10:25:52 GMT,4b79e3445fa73b94611b553d0a2845c2,AmazonS3,application/zip,3797617,Miss from cloudfront,hqeE0Ee3OYY00RiE8rPyV14lpHmGi1O3UBJ9qsQwzpaRcCN4Ls98cQ==
0,2023-01-24,1s,52450fadbb04ade97de164e2d53f1417983ddb84f6114365f5034e96a561d4fe,271efbefe77df520f827a0a0c274da41bdbbb59a65e27f1a5160da199b5c9b85,3776897,86400,86400,1674518400000,1674604799000,200,Thu, 13 Apr 2023 10:25:01 GMT,e522f9c19f6fad019d110cffbc3652d3,AmazonS3,application/zip,3776897,Miss from cloudfront,kgb7D_fAaV3MCCMMLT_TooOVvwIrNNwNjD1o7tsbFPIpP6st-wJNlg==
0,2023-01-23,1s,577dffffe6a5853df87f5b75b3486e1a7097c5fc76c1d12dfb825c876e143c43,4069c5fd357386ded2d2c850a0482b0bd84b10cbdfd8bb533420fc407ca11194,3770538,86400,86400,1674432000000,1674518399000,200,Thu, 13 Apr 2023 10:25:02 GMT,4ab2b1877cefcb5533897da71448c470,AmazonS3,application/zip,3770538,Miss from cloudfront,7P9vKXaHScNnmAz9J9_r5QmRMzjUUgDcWJyJv-cEjMqMaJH1vHUlqw==
